Price,Close,High,Low,Open,Volume
Ticker,DOGE-EUR,DOGE-EUR,DOGE-EUR,DOGE-EUR,DOGE-EUR
Date,,,,,
2024-09-01,0.09161599725484848,0.09243299812078476,0.09083600342273712,0.09225399792194366,274611800
2024-09-02,0.08633500337600708,0.09173300117254257,0.0854090005159378,0.09161599725484848,384360729
2024-09-03,0.08955799788236618,0.09010399878025055,0.08523000031709671,0.08633500337600708,419210397
2024-09-04,0.08754199743270874,0.09096899628639221,0.08752600103616714,0.08955799788236618,358121128
2024-09-05,0.08847100287675858,0.08971799910068512,0.08415199816226959,0.08753900229930878,523095335
2024-09-06,0.08847499638795853,0.08921299874782562,0.08688300102949142,0.08847100287675858,407619633
2024-09-07,0.08339300006628036,0.0894400030374527,0.08061999827623367,0.08847499638795853,723994978
2024-09-08,0.08589699864387512,0.08621799945831299,0.08278699964284897,0.08339300006628036,371540089
2024-09-09,0.08666300028562546,0.08737699687480927,0.08480200171470642,0.08589699864387512,344322765
2024-09-10,0.0940840020775795,0.09469299763441086,0.08645100146532059,0.08666300028562546,632577441
2024-09-11,0.09320300072431564,0.09466499835252762,0.09224099665880203,0.0940840020775795,422104050
2024-09-12,0.09207499772310257,0.0934389978647232,0.08913300186395645,0.09320300072431564,483362998
2024-09-13,0.09278800338506699,0.09320200234651566,0.09114599972963333,0.09207499772310257,396907345
2024-09-14,0.0966079980134964,0.09770900011062622,0.09192100167274475,0.09278800338506699,609362601
2024-09-15,0.09515000134706497,0.09700799733400345,0.09442199766635895,0.09660699963569641,384470204
2024-09-16,0.09283699840307236,0.09596999734640121,0.09253200143575668,0.09515000134706497,386824144
2024-09-17,0.08957699686288834,0.09300799667835236,0.08844300359487534,0.0928409993648529,475101065
2024-09-18,0.09091299772262573,0.09217000007629395,0.0888499990105629,0.08957900106906891,431741063
2024-09-19,0.09320200234651566,0.09320700168609619,0.0894239991903305,0.09091299772262573,494430779
2024-09-20,0.09411799907684326,0.09595999866724014,0.09320200234651566,0.09320200234651566,588319091
2024-09-21,0.09437700361013412,0.09612400084733963,0.09295400232076645,0.09411799907684326,532549615
2024-09-22,0.09851700067520142,0.09880799800157547,0.09319599717855453,0.09437700361013412,449671913
2024-09-23,0.09529700130224228,0.0985179990530014,0.09319300204515457,0.09851700067520142,431007039
2024-09-24,0.09734299778938293,0.09770800173282623,0.09385599941015244,0.09529700130224228,579989947
2024-09-25,0.0980909988284111,0.09873200207948685,0.09632900357246399,0.09734299778938293,633085634
2024-09-26,0.09748999774456024,0.09909799695014954,0.09717799723148346,0.0980909988284111,625910246
